Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH
ATJ,02,BATCHSTOP,9/29/2023 10:22:45 PM,CYG-62-521,,,0,0,0
ATJ,02,SUPERSTOP,9/29/2023 10:22:45 PM,JA1-62-521,,,0,0,0
ATJ,13,SUPERSTART,9/25/2023 7:58:28 AM,JA1-54-521,,,10000,10000,1925
ATJ,13,BATCHSTART,9/25/2023 7:58:28 AM,EPV-54-521,,,5000,5000,1925
ATJ,13,BATCHSTOP,9/25/2023 10:34:19 AM,EPV-54-521,,,0,0,0
ATJ,13,BATCHSTART,9/25/2023 10:34:19 AM,WFS-54-521,,,5000,5000,1925
ATJ,13,BATCHSTOP,9/25/2023 1:10:10 PM,WFS-54-521,,,0,0,0
ATJ,13,SUPERSTOP,9/25/2023 1:10:10 PM,JA1-54-521,,,0,0,0
ATJ,13,SUPERSTART,9/25/2023 1:10:10 PM,JA1-96-521,,,3500,3500,1925
ATJ,13,BATCHSTART,9/25/2023 1:10:10 PM,FGX-96-52B,,,3500,3500,1925
ATJ,13,BATCHSTOP,9/25/2023 2:59:15 PM,FGX-96-52B,,,0,0,0
ATJ,13,SUPERSTOP,9/25/2023 2:59:15 PM,JA1-96-521,,,0,0,0
ATJ,13,SUPERSTART,9/28/2023 12:59:00 AM,JA1-62-521,,,96000,96000,1925
ATJ,13,BATCHSTART,9/28/2023 12:59:00 AM,BPO-62-521,,,3500,3500,1925
ATJ,13,BATCHSTOP,9/28/2023 2:48:05 AM,BPO-62-521,,,0,0,0
ATJ,13,BATCHSTART,9/28/2023 2:48:05 AM,CIT-62-521,,,11000,11000,1925
ATJ,13,BATCHSTOP,9/28/2023 8:30:56 AM,CIT-62-521,,,0,0,0
ATJ,13,BATCHSTART,9/28/2023 8:30:56 AM,CNL-62-521,,,2500,2500,1925
ATJ,13,BATCHSTOP,9/28/2023 9:48:52 AM,CNL-62-521,,,0,0,0
ATJ,13,BATCHSTART,9/28/2023 9:48:52 AM,FHR-62-521,,,2500,2500,1925
ATJ,13,BATCHSTOP,9/28/2023 11:06:47 AM,FHR-62-521,,,0,0,0
ATJ,13,BATCHSTART,9/28/2023 11:06:47 AM,MTV-62-521,,,27500,27500,1925
ATJ,13,BATCHSTOP,9/29/2023 1:23:56 AM,MTV-62-521,,,0,0,0
ATJ,13,BATCHSTART,9/29/2023 1:23:56 AM,MUC-62-522,,,3500,3500,1925
ATJ,13,BATCHSTOP,9/29/2023 3:13:01 AM,MUC-62-522,,,0,0,0
ATJ,13,BATCHSTART,9/29/2023 3:13:01 AM,MXE-62-521,,,2500,2500,1925
ATJ,13,BATCHSTOP,9/29/2023 4:30:56 AM,MXE-62-521,,,0,0,0
ATJ,13,BATCHSTART,9/29/2023 4:30:56 AM,PHI-62-521,,,2500,2500,1925
ATJ,13,BATCHSTOP,9/29/2023 5:48:52 AM,PHI-62-521,,,0,0,0
ATJ,13,BATCHSTART,9/29/2023 5:48:52 AM,PTC-62-521,,,2500,2500,1925
ATJ,13,BATCHSTOP,9/29/2023 7:06:47 AM,PTC-62-521,,,0,0,0
ATJ,13,BATCHSTART,9/29/2023 7:06:47 AM,QTC-62-521,,,12500,12500,1925
ATJ,13,BATCHSTOP,9/29/2023 1:36:24 PM,QTC-62-521,,,0,0,0
ATJ,13,BATCHSTART,9/29/2023 1:36:24 PM,TAR-62-521,,,5000,5000,1925
ATJ,13,BATCHSTOP,9/29/2023 4:12:14 PM,TAR-62-521,,,0,0,0
