,Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch
185,ATJ,02,BATCHSTART,9/29/2023 6:06:30 PM,PCA-62-520,,,12000,12000,12167,JA1-62-521
186,ATJ,02,BATCHSTOP,9/29/2023 7:05:40 PM,PCA-62-520,,,0,0,0,JA1-62-521
187,ATJ,02,BATCHSTART,9/29/2023 7:05:40 PM,CHV-62-521,,,10000,10000,12167,JA1-62-521
188,ATJ,02,BATCHSTOP,9/29/2023 7:54:59 PM,CHV-62-521,,,0,0,0,JA1-62-521
189,ATJ,02,BATCHSTART,9/29/2023 7:54:59 PM,CUM-62-521,,,5000,5000,12167,JA1-62-521
190,ATJ,02,BATCHSTOP,9/29/2023 8:19:38 PM,CUM-62-521,,,0,0,0,JA1-62-521
191,ATJ,02,BATCHSTART,9/29/2023 8:19:38 PM,USO-62-521,,,10000,10000,12167,JA1-62-521
192,ATJ,02,BATCHSTOP,9/29/2023 9:08:57 PM,USO-62-521,,,0,0,0,JA1-62-521
193,ATJ,02,BATCHSTART,9/29/2023 9:08:57 PM,CYG-62-521,,,14965,15000,12167,JA1-62-521
194,ATJ,02,BATCHSTOP,9/29/2023 10:22:45 PM,CYG-62-521,,,0,0,0,JA1-62-521
195,ATJ,02,SUPERSTOP,9/29/2023 10:22:45 PM,JA1-62-521,,,0,0,0,None
196,ATJ,13,SUPERSTART,9/25/2023 7:58:28 AM,JA1-54-521,,,10000,10000,1925,JA1-54-521
197,ATJ,13,BATCHSTART,9/25/2023 7:58:28 AM,EPV-54-521,,,5000,5000,1925,JA1-54-521
198,ATJ,13,BATCHSTOP,9/25/2023 10:34:19 AM,EPV-54-521,,,0,0,0,JA1-54-521
199,ATJ,13,BATCHSTART,9/25/2023 10:34:19 AM,WFS-54-521,,,5000,5000,1925,JA1-54-521
200,ATJ,13,BATCHSTOP,9/25/2023 1:10:10 PM,WFS-54-521,,,0,0,0,JA1-54-521
201,ATJ,13,SUPERSTOP,9/25/2023 1:10:10 PM,JA1-54-521,,,0,0,0,None
202,ATJ,13,SUPERSTART,9/25/2023 1:10:10 PM,JA1-62-521,,,3500,3500,1925,JA1-62-521
203,ATJ,13,BATCHSTART,9/25/2023 1:10:10 PM,FGX-62-52B,,,3500,3500,1925,JA1-62-521
204,ATJ,13,BATCHSTOP,9/25/2023 2:59:15 PM,FGX-62-52B,,,0,0,0,JA1-62-521
205,ATJ,13,SUPERSTOP,9/25/2023 2:59:15 PM,JA1-62-521,,,0,0,0,None
206,ATJ,13,SUPERSTART,9/28/2023 12:59:00 AM,JA1-62-521,,,96000,96000,1925,JA1-62-521
207,ATJ,13,BATCHSTART,9/28/2023 12:59:00 AM,BPO-62-521,,,3500,3500,1925,JA1-62-521
208,ATJ,13,BATCHSTOP,9/28/2023 2:48:05 AM,BPO-62-521,,,0,0,0,JA1-62-521
209,ATJ,13,BATCHSTART,9/28/2023 2:48:05 AM,CIT-62-521,,,11000,11000,1925,JA1-62-521
210,ATJ,13,BATCHSTOP,9/28/2023 8:30:56 AM,CIT-62-521,,,0,0,0,JA1-62-521
211,ATJ,13,BATCHSTART,9/28/2023 8:30:56 AM,CNL-62-521,,,2500,2500,1925,JA1-62-521
